fid,Sample_ID,Experiment_name,Date,Start_time,End_time,Climate_logger_ID,Latitude,Longitude,GPS,City,Address,Location_description,Habitat_description,Temperature,Weather,Shade,Wind,Remarks_participants,Remarks_Nelma,Imp_mean,Imp_median,Imp_stdev,Imp_min,Imp_max
66,22-11080,LERALUMA,25.05.2022,10:11,12:14,"94226738",52.42299,13.26348,"52.42299, 13.26348",Berlin,"Leo-Baeck-Straße 28, 14167 Berlin","Schweizerhof-Grundschule; in der Mitte des Schulhofes","Mitte Schulhof, neben Rasen, Busch","16",lightly cloudy,half-shade,weak wind,"Neben ein Ameisenbau; Alle Kinder bei uns rumgestrampelt",,39.9449838187702,31,28.9452146681313,2,100
67,22-11081,Ant-feader,23.05.2022,,,,52.42587,13.262709,"52.42587035287901, 13.262708539830856",Berlin,"Teltower Damm 87-93, 14167 Berlin","John F. Kennedy School (JFK-SCHULE); Hill by the EC playground, red and yellow ",Gras,"14",lightly cloudy,half-shade,weak wind,,"3d-15, Cassidy on upper left and right corners of sheet; No info on location, but sample 22-11003 has similar numbering on the upper left corner and also had a photocopied sheet, so I am assuming it is from the same place; 2 versions of data sheet, 1 photocopy 1 normal sheet, both filled in with same info; Post it note with ""Sci 1:38=>1:40 2:10=>2:15"". Do not know what it means, if it is time stamps it makes no sense",69.5064516129032,88.5,36.3821778018097,0,100
68,22-11082,Ant Picknick,20.05.2022,12:40,,"94226815",52.42587,13.262709,"52.42587035287901, 13.262708539830856",Berlin,"Teltower Damm 87-93, 14167 Berlin","John F. Kennedy School (JFK-SCHULE); bei der ""entrinsklase"" ",Gras,"23",lightly cloudy,no shade,no wind,," data sheet empty, with a photocopied version filled out; JFK schule assumed to be John F. Kennedy school in Teltower Damm; ""BB"" in upper left corner of data sheet",69.5064516129032,88.5,36.3821778018097,0,100
69,22-11084,,20.05.2022,10:15,12:15,"94226772",51.296465,12.384371,"51.29646511111912, 12.384370693254107",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,"Steine, Kies, Mülleimer","23",lightly cloudy,half-shade,weak wind,,"There is also a Raschwitzer Str. 4 in Markkleeberg, near Leipzig. On data sheet there was no info on the city; ""P2"" on upper right corner of data sheet",68.8169934640523,74,27.8682563362364,10,100
70,22-11085,,20.05.2022,10:25,12:25,"94233393",51.296465,12.384371,"51.29646511111912, 12.384370693254108",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,"Gras, Büsche, kleine Birken","23",lightly cloudy,full shade,weak wind,,"There is also a Raschwitzer Str. 4 in Markkleeberg, near Leipzig. On data sheet there was no info on the city; ""P5"" on upper right corner of data sheet",68.8169934640523,74,27.8682563362364,10,100
71,22-11086,Formicidae,12.05.2022,17:30,19:30,"94226789",51.504,11.953383,"51.504000, 11.953383",Halle,"Saalepromenade, Anleger 5, 06114, Halle (Saale)",Google maps: Bürgerforschungsschiff Make Science Halle,"drei Bäume, gefleckter Schierling, Wildpflanzen","23",lightly cloudy,half-shade,weak wind,,"the given coordinates were 51°30.240'N 011°57.203'E, which does not work bc the seconds are > 60, but google maps corrected it automatically to a location by the Make Science ship in Halle, which makes sense given the time and date this experiment was conducted",28.5922330097087,0,38.3890247496242,0,100
72,22-11088,Ant Picknick,20.05.2022,10:20,11:10,"94226775",52.463125,13.260276,"52.4631245, 13.26027580",Berlin,"Hüttenweg 40, 14195 Berlin",Quentin-Blake-Grundschule Europaschule,"trocken, mulchig, Gebüsch, Baum",,no clouds,full shade,no wind,"abgebrochen, es waren keine Ameisen; Störungen: Menschen","80 min and 120 min not filled out, experiment probably stopped between 40 and 80 min; Top of data sheet: ""Charlie""",0,0,0,0,0
73,22-11089,Ameisenpicknick JEKA,16.05.2022,9:10,11:10,"94226721",52.50195,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lückstraße 63, 10317 Berlin","Immanuel-Kant-Gymnasium; oberer Schulhof","Pflanzen, Erde, Baum","16",no clouds,half-shade,no wind,some ants came between the counting time points,,58.987012987013,65,37.0647883123079,0,100
74,22-11090,AxelderAmeisenbär,13.05.2022,9:17,11:26,"94233368",51.501186,11.958597,"51.50118626065838, 11.958597135581961",Halle,"Friedenstraße 33, 06114 Halle (Saale)","nähe Friedhofsmauer, Giebichenstein-Gymnasium “Thomas Müntzer” Halle","Schulhof, nähe Parkplatz, neben Fliederbaum","17",lightly cloudy,half-shade,weak wind,"Karte hebt am Rand ab (for all concentrations); Ameisen haben das Feld nach dem Betreten schnell wieder verlassen",,40.3006535947712,28.5,39.068246800561,0,100
75,22-11091,Dinner for Ants,12.05.2022,17:50,19:50,"94233371",51.503923,11.953357,"51.503923339141316, 11.953356735581966",Halle,"Saalepromenade, Anleger 5, 06114, Halle (Saale)","Bürgerforschungsschiff Make Science Halle, between two boats","am oberen Ufer, Wiese, Nordhang, sandiger Boden","20",lightly cloudy,no shade,weak wind,,"2 options picked for weather, picked highest (more cloudy) one",28.6109324758842,0,38.0131100599455,0,100
76,22-11092,Killt die Ameisen!,17.05.2022,12:42,,,52.515178,13.437952,"52.5151779064315, 13.437951893254114",Berlin,"Rüdersdorfer Str. 20-27, 10243 Berlin",Ellen-Key-Schule,"Wiese, Hasengehege","18",very cloudy,half-shade,no wind,"morgens regnerisch; wärmer richtung 14:30",,57.2857142857143,61,36.5381341951642,0,100
77,22-11093,mörderische Ameise,31.05.2022,9:25,,"94233370",52.64046,13.48772,"52.64046, 13.48772",Berlin,"Wiltbergstraße 84, 13125 Berlin",Montessori-Gemeinschaftsschule Berlin-Buch,"erdig, Eibenwald","13",lightly cloudy,full shade,no wind,kleine Ameisen (1mm),Latitude was written as 25.64046 which is highly unlikely as it is in the Lybian desert. I assume it is a typo as 52.64046 lands us in Berlin and thus kept 52 as latitude,22.5016286644951,8,29.6280277764272,0,100
78,22-11094,Gruppe 2 kurze Wiese Team - Angelo,20.05.2022,10:05,,"94226722",52.448678,13.400552,"52.44867799741529, 13.400551905982203",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule,Wiese vor Schule,"20",lightly cloudy,no shade,weak wind,"It was hard to bury the climate logger; There was an ant colony directly next to the experiment",,49.2647058823529,45,28.0304199147956,4,100
79,22-11095,Ameisen Platte,18.05.2022,9:32,,"94233398",52.425734,13.225675,"52.4257340528183, 13.22567469750354",Berlin,"Am Rohrgarten 9, 14163 Berlin",Anna-Essinger-Gemeinschaftsschule,"Mülltonne, Erde",,,,,,"No info on city was given, from a google maps search I assume it was this address in Berlin",57.9512987012987,61,36.334675822753,0,100
80,22-11097,Arinze Lonai Denis Taylor (?),19.05.2022,13:00,15:03,"94233314",52.541454,13.357715,"52.54145437062422, 13.357714564039153",Berlin,"Tegeler Str. 18-19, 13533 Berlin",Brüder-Grimm-Grundschule,"Boden hart und sandig, neben Fußweg, Mülleimer","28",lightly cloudy,half-shade,no wind,also other insects were interested in the pic-nic,"no info on location but the data sheet was photocopied like in sample 22-11061, and all exp done on 19.05 were from the same place, so I assume it is also the Brüder-Grimm-Grundschule",77.3525641025641,100,29.7269204782077,2,100
81,22-11098,Coole Ameisensucher/Ameisen zählen,16.05.2022,9:05,11:05,"94233312",52.50195,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lückstraße 63, 10317 Berlin",Immanuel-Kant-Gymnasium,"Schulgarten, Insektenhotel in der Nähe, harte Erde","20",no clouds,full shade,weak wind,,"no info on location, but all experiments done on that day were in immanuel kant gymnasium. Times of day match",58.987012987013,65,37.0647883123079,0,100
82,22-11100,,20.05.2022,10:18,12:18,"94226773",51.296465,12.384371,"51.29646511111912, 12.384370693254107",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,"Mauer, Fahrradständer, Steine, Kies, Baum","23",lightly cloudy,half-shade,no wind,,"Upper right corner of sheet: ""P1""",68.8169934640523,74,27.8682563362364,10,100
