sample_ID,date,start_time,end_time,climate_logger_ID,latitude,longitude,GPS,city,address,location_description,site,habitat_description,temperature,weather,shade,wind,imp_mean,imp_median,imp_stdev,imp_min,imp_max,t1_mean,t1_max,t1_min,t1_sd,t1_var,t2_mean,t2_max,t2_min,t2_sd,t2_var,t3_mean,t3_max,t3_min,t3_sd,t3_var,raw_moist_mean,raw_moist_max,raw_moist_min,raw_moist_sd,raw_moist_var,vol_moist_mean,vol_moist_max,vol_moist_min,vol_moist_sd,vol_moist_var,remarks_participants,remarks_Nelma
22-11056,20.05.2022,9:40,11:30,94226827,52.443910,13.276570,"52.44391, 13.27657",Berlin,"Molsheimer Str. 7, 14195 Berlin",Muehlenau-Grundschule; Schulgarten,Muehlenau-Grundschule,"Bienenhochbeet, sandiger Boden, trocken",21,lightly cloudy,half-shade,weak wind,40.57372,33.5,28.99969,0,100,20.9140625,21.625,20.5,0.421171702,0.177385603,26.3671875,28.9375,22.5625,2.740127877,7.508300781,26.703125,29.625,21.25,3.172979883,10.06780134,1553.875,1572,1525,16.39196232,268.6964286,19.7625,20.1,19.2,0.333541602,0.11125,Wir hatten ein kleines Zeitproblem deshalb steht bei 40 nix. Wir hatten 55 Ameisen aber dan waren sie weg.,"17° in the morning, 25 later. half shade in the beginning, no shade at the end; Not sure if end time is 11:30 or 11:50, see handwriting on sheet; 2 options picked for shade and wind, kept the highest one both times"
22-11058,16.05.2022,9:07,11:07,94226785,52.501950,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lueckstraße 63, 10317 Berlin",Immanuel-Kant-Gymnasium,Immanuel-Kant-Gymnasium,"Asphalt, Muelleimer",20,lightly cloudy,full shade,weak wind,58.98701,65,37.06479,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,at times other insects,
22-11059,20.05.2022,10:45,10:44,94226801,52.500833,13.257778,"52.500833, 13.257778",Berlin,"Kolonie Waldschule 42, 14055 Berlin","Heinz-Galinski-Schule, Wald, an dem Zaun zum Kleingaerten",Heinz-Galinski-Schule,"Waldnaehe, altes Laub, trockene Erde",22,lightly cloudy,half-shade,weak wind,13.55449,0,24.17452,0,100,16.75694444,17,16.625,0.14804865,0.021918403,24.625,28.375,21.5,2.616802677,6.84765625,25.17361111,28.1875,21.9375,2.595025623,6.734157986,1212.555556,1221,1201,7.090682462,50.27777778,12.51111111,12.7,12.3,0.153659074,0.023611111,"Ants came to the baits and left quickly, different insects came and went",sheet describing group tasks attached to data sheet
22-11060,12.05.2022,17:40,19:40,94226788,51.503945,11.953842,"51.503945, 11.9538415",Halle,"Saalepromenade, 06120 Halle (Saale)","Google maps: near Burg Giebichenstein, near Buergerforschungsschiff Make Science Halle",Boat Make Science Halle,"Steinmauer, Beet, Baum, Blumen",23,lightly cloudy,half-shade,weak wind,15.86928,0,27.86151,0,100,22.6484375,25,22.125,0.969361846,0.939662388,27.2421875,29.625,24,2.262474719,5.118791853,24.0703125,25.75,21.5,1.580940293,2.49937221,1357.875,1385,1297,29.90192302,894.125,15.6125,16.2,14.3,0.644620597,0.415535714,Die Einstrahlung der Sonne liess ch und die Bodenflaeche wurde schaettiger. ch 120 min vollstaendig beschattet,"Coordites were written in DMS format but it was actually the DD coordites (the minutes for longitude were 95, which is impossible). Since the team me matche the castle near the DD coordites, I assume they are correct; 2 options picked for shade, kept highest one"
22-11061,19.05.2022,13:06,13:13,94233324,52.541454,13.357715,"52.54145437062422, 13.357714564039153",Berlin,"Tegeler Str. 18-19, 13533 Berlin",Brueder-Grimm-Grundschule,Brueder-Grimm-Grundschule,"Waldboden, Wurzeln, Ahorn Baeume, neben Turnhalle, Erde und Gras",28,lightly cloudy,half-shade,no wind,77.35256,100,29.72692,2,100,19.0625,20.125,18.75,0.540543708,0.2921875,26.76041667,27.0625,26.5,0.225057863,0.050651042,27.4375,27.6875,27.125,0.197642354,0.0390625,1007,1012,1003,3.577708764,12.8,7.983333333,8.1,7.9,0.098319208,0.009666667,It was difficult to get the climate logger in the ground,"Climate logger ID miswritten as 9423324 with 1 digit missing. With the logger numbering system it should either be 94233424 or 94233324. 94233324 had plausible soil mositure values during the experiment time but logger 94233424 was not found (the lab does not have many loggers from the 942334 series) so I assumed the logger ID was 94233324;  the end time on the front says 13:13, but on the back there are time point written next to the 5,10,20,... min marks and the last time point (at 120 min) is 14:37; actual data sheet not filled out, a photocopy is attached and filled out"
22-11062,20.05.2022,10:10,12:10,94226814,51.296465,12.384371,"51.29646511111912, 12.384370693254107",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,Karl-Schubert-Schule ,"Blumenbeet, Gras, Baeume, Weg",23,very cloudy,full shade,no wind,68.81699,74,27.86826,10,100,18.3359375,18.5625,18.125,0.173390236,0.030064174,21.7734375,23.75,21.125,0.858867545,0.73765346,22.046875,23.25,21.3125,0.677895575,0.459542411,1556.875,1565,1544,7.039429766,49.55357143,19.8375,20,19.6,0.140788595,0.019821429,,"There is also a Raschwitzer Str. 4 in Markkleeberg, near Leipzig. On data sheet there was no info on the city; No date on data sheet but all other experiments at this location were done on 20.05, so I assumed it was the same date; ""P3"" on upper right corner of data sheet"
22-11063,16.05.2022,9:08,11:08,94233326,52.501950,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lueckstraße 63, 10317 Berlin",Immanuel-Kant-Gymnasium,Immanuel-Kant-Gymnasium,"Erde, Pflanzen, Beete",16,lightly cloudy,half-shade,weak wind,58.98701,65,37.06479,0,100,14.21875,15.125,14,0.388161877,0.150669643,17.5546875,18.75,16.5625,0.865662873,0.74937221,18.03125,19.75,16.875,0.976281209,0.953125,1085.125,1099,1070,9.687067963,93.83928571,9.7125,10,9.4,0.20310096,0.04125,,
22-11066,20.05.2022,9:53,,94226717,52.448678,13.400552,"52.44867799741529, 13.400551905982203",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule; vor Schule,Schaetzelberg-Grundschule,"Erde/ Sand, wenig Pflanzen, Kieselsteine",28,lightly cloudy,full shade,weak wind,49.26471,45,28.03042,4,100,17.52777778,18.0625,17.375,0.236162168,0.055772569,19.90277778,21.5625,19.25,0.69394079,0.481553819,20.22916667,20.875,19.5,0.478033079,0.228515625,959.7777778,970,949,7.378647874,54.44444444,6.944444444,7.2,6.7,0.181046342,0.032777778,,
22-11067,18.05.2022,9:47,,94233330,52.425734,13.225675,"52.4257340528183, 13.22567469750354",Berlin,"Am Rohrgarten 9, 14163 Berlin",Anna-Essinger-Gemeinschaftsschule,Anna-Essinger-Gemeinschaftsschule,"Beet, Backstein",25,no clouds,no shade,weak wind,57.9513,61,36.33468,0,100,19.20138889,21.625,17.375,1.557422305,2.425564236,23.09027778,25.125,20.3125,1.625634225,2.642686632,22.09027778,24,19.25,1.594702874,2.543077257,973.8888889,989,956,10.9138037,119.1111111,7.255555556,7.6,6.9,0.229734146,0.052777778,"25° in the sun next to the experiment, 16.4° in the ground","No info on location. Out of 5 experiments done on that date, only 1 had location info filled. All times of day matched. I'm assuming they all took place there."
22-11068,04.06.2022,13:25,15:40,94233349,51.273320,12.275040,"51.27332, 12.27504",Leipzig,"Rehbacher Anger 24, 04249 Leipzig","Garten, Gemuese-Blumenbeet",private home exp 22-11068,"Erde, Beettrittplatten, Erdbeerbeet, Tomaten, Blumen",22,very cloudy,no shade,no wind,47.34936,36.5,37.8607,0,100,24.875,25.75,24.5,0.446339277,0.19921875,27.66666667,30.9375,25.1875,2.250650948,5.065429688,27.25694444,29.875,24.625,2.104553389,4.429144965,1718.777778,1736,1707,10.53301687,110.9444444,23.15555556,23.5,22.9,0.212785756,0.045277778,from 80 minutes only lightly cloudy,
22-11069,13.05.2022,9:23,11:15,94233367,51.500430,11.958810,"51.50043, 11.95881",Halle,"Friedenstraße 34, 06114 Halle (Saale)",Schulgebaeude. Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"Erde, wenig Gras, Steinmauer, Sporthalle",19,lightly cloudy,half-shade,strong wind,61.5,67,37.27109,0,100,18.75,19.5,17.8125,0.616187877,0.3796875,17.80208333,18.1875,17.625,0.210715547,0.044401042,17.34375,17.875,17.125,0.273147167,0.074609375,731.8333333,734,731,1.169045194,1.366666667,1.75,1.8,1.7,0.054772256,0.003,Stoerungen: Tuete verloren - keine vorhanden,"2 options picked for wind, kept the highest one"
22-11070,18.05.2022,9:28,11:37,94226780,52.425734,13.225675,"52.4257340528183, 13.22567469750354",Berlin,"Am Rohrgarten 9, 14163 Berlin",Anna-Essinger-Gemeinschaftsschule,Anna-Essinger-Gemeinschaftsschule,"Erde, Buesche, Wald",24,no clouds,half-shade,no wind,57.9513,61,36.33468,0,100,13.63888889,14.125,13.25,0.316810548,0.100368924,15.77083333,16.875,14.75,0.744773455,0.5546875,16.44444444,17.875,15.125,0.952712228,0.90766059,1365.222222,1371,1355,5.651941653,31.94444444,15.8,15.9,15.6,0.122474487,0.015,Very few ants come in the shade,"No info on location. Out of 5 experiments done on that date, only 1 had location info filled. All times of day matched. I'm assuming they all took place there."
22-11071,31.05.2022,9:30,11:30,94233344,52.640510,13.488140,"52.64051, 13.48814",Berlin,"Wiltbergstraße 84, 13125 Berlin",Montessori-Gemeinschaftsschule Berlin-Buch,Montessori-Gemeinschaftsschule,"sandig, Vogelhaus, Blumentoepfe",13,lightly cloudy,no shade,weak wind,31.13269,20,33.95416,0,100,20.44444444,21.75,19.25,1.002167789,1.004340278,21.90972222,25,18.8125,2.338976621,5.470811632,19.86805556,23,17.25,1.989337899,3.957465278,1061.555556,1070,1056,5.790317589,33.52777778,9.211111111,9.4,9.1,0.126929552,0.016111111,Um unsere Blaetter krabbeln vom Anfang an einige Ameisen,orange round sticker on upper right corner of data sheet
22-11072,19.05.2022,13:00,15:00,94226791,52.541517,13.357867,"52.54151657263748, 13.357866937559926",Berlin,"Tegeler Str. 18-19, 13353 Berlin",Brueder-Grimm-Grundschule; Schulgarten,Brueder-Grimm-Grundschule,"Boden weich, sandig, kein Gras, Hochbeete",,lightly cloudy,half-shade,weak wind,74.72903,95.5,31.15296,2,100,23.03571429,25,22.25,0.93182808,0.868303571,31.85714286,33.625,29.3125,1.415002524,2.002232143,31.57142857,32.625,29.875,1.110103089,1.232328869,1053.142857,1071,1029,13.9095719,193.4761905,9,9.4,8.5,0.294392029,0.086666667,kaum Ameisen die zum Picknick wollten,"Top of sheet: Freya, Tselamm, An, Daniela, Nuran"
22-11073,18.05.2022,9:21,,94233316,52.425734,13.225675,"52.4257340528183, 13.22567469750354",Berlin,"Am Rohrgarten 9, 14163 Berlin",Anna-Essinger-Gemeinschaftsschule,Anna-Essinger-Gemeinschaftsschule,"Sand, Gras",,no clouds,,,57.9513,61,36.33468,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,Stoerung 0%: wurde von Mathilda weggetragen,"No info on location. Out of 5 experiments done on that date, only 1 had location info filled. All times of day matched. I'm assuming they all took place there."
22-11074,19.05.2022,12:55,14:55,94233317,52.541517,13.357867,"52.54151657263748, 13.357866937559926",Berlin,"Tegeler Str. 18-19, 13353 Berlin",Brueder-Grimm-Grundschule,Brueder-Grimm-Grundschule,"Garten, verschiedene Pflanzen, Eiche, Spielplatz",27,lightly cloudy,full shade,no wind,74.72903,95.5,31.15296,2,100,22.57142857,26.375,21.375,1.714076438,2.938058036,28.28571429,29,27.5625,0.5037065,0.253720238,28.20535714,28.75,27.5,0.418818847,0.175409226,953.7142857,964,943,7.158079019,51.23809524,6.8,7,6.6,0.163299316,0.026666667,"Fliege, eine Ameise selber zum hingetragen aber die ist ch 5 Minuten wieder abgehauen","Top of sheet: Emil, Niko, Abdulaziz, Yusein"
22-11075,17.05.2022,12:48,14:37,,52.516008,13.438542,"52.51600835364382, 13.438542192187478",Berlin,"Ruedersdorfer Str. 20-27, 10243 Berlin",Ellen-Key-Schule; Turnhalle ,Ellen-Key-Schule,"Gras, Turnhalle",17,lightly cloudy,half-shade,no wind,45.7871,36.5,36.97148,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Took the coordites of the school Sporthalle
22-11076,20.05.2022,10:10,12:10,94233320,52.454883,13.270002,"52.45488324373612, 13.27000240964818",Berlin,"Huettenweg 40, 14195 Berlin",Quentin-Blake-Grundschule Europaschule; Spielplatz,Quentin-Blake-Grundschule,"Steinwand, Gebuesch, Sand, Gras, Holz, Steine",22,lightly cloudy,half-shade,weak wind,72.48065,83.5,29.29843,10,100,19.76388889,20.25,19.625,0.220479276,0.048611111,21.40277778,23.25,20,1.264799542,1.599717882,21.97916667,24.125,20.4375,1.41662837,2.006835938,1163.888889,1173,1153,7.474029108,55.86111111,11.43333333,11.6,11.2,0.15,0.0225,,"""Ariane"" on upper right corner of sheet"
22-11078,02.06.2022,8:10,10:10,94226821,52.495420,13.318973,"52.495420, 13.318973",Berlin,"Emser Str. 50, 10719 Berlin",Hebelschule; Schulhof,Hebelschule,"Brennnessel, Pflanzen",17,lightly cloudy,half-shade,weak wind,51.07097,45,33.84654,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,Marienkaeferarten und eine Ameise,"Probably hebelschule, only school missing from dataset and experiments were picked up from school on 02.06; Almost no counting data filled out"
22-11079,10.06.2022,17:57,20:20,94233344,52.621744,13.505696,"52.621744, 13.505696",Berlin,"Berlin-Buch, near Ratheustraße 22, 16341 Panketal",looks like a private home garden,private home exp 22-11079,"Steinterasse, Kirschbaeume, Wiesen, Muellplatz in der Naehe",27,no clouds,full shade,no wind,5.769481,0,11.61764,0,58,19,19.375,18.625,0.251945555,0.063476563,17.75,18.875,16.75,0.693158532,0.48046875,18.50694444,19.875,17.25,0.918263288,0.843207465,1115.777778,1156,1101,16.414763,269.4444444,10.41111111,11.3,10.1,0.362092683,0.131111111,Durch die Woelbung der Prozentkarten wurden die Koeder um 18:17 vor der Prozentkarte platziert um das Finden des Koeders zu erleichtern,
22-11080,25.05.2022,10:11,12:14,94226738,52.422990,13.263480,"52.42299, 13.26348",Berlin,"Leo-Baeck-Straße 28, 14167 Berlin",Schweizerhof-Grundschule; in der Mitte des Schulhofes,Schweizerhof-Grundschule,"Mitte Schulhof, neben Rasen, Busch",16,lightly cloudy,half-shade,weak wind,39.94498,31,28.94521,2,100,18.14583333,18.5,17.875,0.2538762,0.064453125,19.57638889,22.1875,18.625,1.10828634,1.228298611,18.75694444,20.875,17.625,0.979499057,0.959418403,981.7777778,1002,955,14.61829143,213.6944444,7.433333333,7.9,6.8,0.335410197,0.1125,Neben ein Ameisenbau; Alle Kinder bei uns rumgestrampelt,
22-11081,23.05.2022,,,,52.425870,13.262709,"52.42587035287901, 13.262708539830856",Berlin,"Teltower Damm 87-93, 14167 Berlin","John F. Kennedy School (JFK-SCHULE); Hill by the EC playground, red and yellow ",JFK-Schule,Gras,14,lightly cloudy,half-shade,weak wind,69.50645,88.5,36.38218,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"3d-15, Cassidy on upper left and right corners of sheet; No info on location, but sample 22-11003 has similar numbering on the upper left corner and also had a photocopied sheet, so I am assuming it is from the same place; 2 versions of data sheet, 1 photocopy 1 normal sheet, both filled in with same info; Post it note with ""Sci 1:38=>1:40 2:10=>2:15"". Do not know what it means, if it is time stamps it makes no sense"
22-11082,20.05.2022,12:40,,94226815,52.425870,13.262709,"52.42587035287901, 13.262708539830856",Berlin,"Teltower Damm 87-93, 14167 Berlin","John F. Kennedy School (JFK-SCHULE); bei der ""entrinsklase"" ",JFK-Schule,Gras,23,lightly cloudy,no shade,no wind,69.50645,88.5,36.38218,0,100,21.8125,22.5,21,0.504665731,0.2546875,28.79166667,30.625,27.75,1.100189378,1.210416667,29.6875,31.25,28.4375,0.996870102,0.99375,2205.5,2553,1154,520.9951055,271435.9,32.45,39.2,11.2,10.50709284,110.399,," data sheet empty, with a photocopied version filled out; JFK schule assumed to be John F. Kennedy school in Teltower Damm; ""BB"" in upper left corner of data sheet"
22-11084,20.05.2022,10:15,12:15,94226772,51.296465,12.384371,"51.29646511111912, 12.384370693254107",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,Karl-Schubert-Schule ,"Steine, Kies, Muelleimer",23,lightly cloudy,half-shade,weak wind,68.81699,74,27.86826,10,100,18.3125,18.625,18,0.238578379,0.056919643,21.703125,22.125,21.5625,0.188242577,0.035435268,22.46875,22.75,22.25,0.173591269,0.030133929,1721.75,1741,1697,16.18420747,261.9285714,23.2,23.6,22.7,0.316227766,0.1,,"There is also a Raschwitzer Str. 4 in Markkleeberg, near Leipzig. On data sheet there was no info on the city; ""P2"" on upper right corner of data sheet"
22-11085,20.05.2022,10:25,12:25,94233393,51.296465,12.384371,"51.29646511111912, 12.384370693254108",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,Karl-Schubert-Schule ,"Gras, Buesche, kleine Birken",23,lightly cloudy,full shade,weak wind,68.81699,74,27.86826,10,100,19.17708333,19.4375,19,0.155204838,0.024088542,21.46875,23.125,20.75,0.869401734,0.755859375,21.4375,22.25,20.8125,0.578251675,0.334375,1725.666667,1738,1706,11.80960061,139.4666667,23.28333333,23.5,22.9,0.240138849,0.057666667,,"There is also a Raschwitzer Str. 4 in Markkleeberg, near Leipzig. On data sheet there was no info on the city; ""P5"" on upper right corner of data sheet"
22-11086,12.05.2022,17:30,19:30,94226789,51.504000,11.953383,"51.504000, 11.953383",Halle,"Saalepromenade, Anleger 5, 06114, Halle (Saale)",Google maps: Buergerforschungsschiff Make Science Halle,Boat Make Science Halle,"drei Baeume, gefleckter Schierling, Wildpflanzen",23,lightly cloudy,half-shade,weak wind,28.59223,0,38.38902,0,100,18.1328125,18.25,18,0.097040469,0.009416853,22.671875,23.625,20.875,0.962899963,0.927176339,23.203125,24.5,20.6875,1.358155755,1.844587054,1501.125,1510,1482,9.775150711,95.55357143,18.6625,18.8,18.3,0.184681192,0.034107143,,"the given coordites were 51°30.240'N 011°57.203'E, which does not work bc the seconds are > 60, but google maps corrected it automatically to a location by the Make Science ship in Halle, which makes sense given the time and date this experiment was conducted"
22-11088,20.05.2022,10:20,11:10,94226775,52.463125,13.260276,"52.4631245, 13.26027580",Berlin,"Huettenweg 40, 14195 Berlin",Quentin-Blake-Grundschule Europaschule,Quentin-Blake-Grundschule,"trocken, mulchig, Gebuesch, Baum",,no clouds,full shade,no wind,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"abgebrochen, es waren keine Ameisen; Stoerungen: Menschen","Coordites given by the students, but they're not the address of the school, they're in the middle of the forest. ; 80 min and 120 min not filled out, experiment probably stopped between 40 and 80 min; Top of data sheet: ""Charlie"""
22-11089,16.05.2022,9:10,11:10,94226721,52.501950,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lueckstraße 63, 10317 Berlin",Immanuel-Kant-Gymnasium; oberer Schulhof,Immanuel-Kant-Gymnasium,"Pflanzen, Erde, Baum",16,no clouds,half-shade,no wind,58.98701,65,37.06479,0,100,15.09027778,16,14.875,0.357824251,0.128038194,18.51388889,19.5,17.875,0.616170268,0.379665799,19.09722222,20.375,18.375,0.693236797,0.480577257,951.5555556,958,947,4.003470716,16.02777778,6.744444444,6.9,6.6,0.113038833,0.012777778,some ants came between the counting time points,
22-11090,13.05.2022,9:17,11:26,94233368,51.501186,11.958597,"51.50118626065838, 11.958597135581961",Halle,"Friedenstraße 33, 06114 Halle (Saale)","naehe Friedhofsmauer, Giebichenstein-Gymnasium “Thomas Muentzer” Halle",Giebichenstein-Gymnasium “Thomas Muentzer”,"Schulhof, naehe Parkplatz, neben Fliederbaum",17,lightly cloudy,half-shade,weak wind,40.30065,28.5,39.06825,0,100,25.546875,26.5,25,0.466213375,0.217354911,24,26.5625,21.75,1.97811689,3.912946429,22.140625,24.75,20.125,1.788401995,3.198381696,809,822,803,7.596991886,57.71428571,3.525,3.8,3.4,0.175254916,0.030714286,Karte hebt am Rand ab (for all concentrations); Ameisen haben das Feld ch dem Betreten schnell wieder verlassen,
22-11091,12.05.2022,17:50,19:50,94233371,51.503923,11.953357,"51.503923339141316, 11.953356735581966",Halle,"Saalepromenade, Anleger 5, 06114, Halle (Saale)","Buergerforschungsschiff Make Science Halle, between two boats",Boat Make Science Halle,"am oberen Ufer, Wiese, Nordhang, sandiger Boden",20,lightly cloudy,no shade,weak wind,28.61093,0,38.01311,0,100,21.7265625,22.875,21.25,0.519634036,0.270019531,23.8359375,25.25,21.125,1.539994166,2.371582031,22.6015625,24.5,18.75,1.988790434,3.955287388,1129.125,1134,1116,6.424006316,41.26785714,10.7,10.8,10.4,0.151185789,0.022857143,,"2 options picked for weather, picked highest (more cloudy) one"
22-11092,17.05.2022,12:42,,,52.515178,13.437952,"52.5151779064315, 13.437951893254114",Berlin,"Ruedersdorfer Str. 20-27, 10243 Berlin",Ellen-Key-Schule,Ellen-Key-Schule,"Wiese, Hasengehege",18,very cloudy,half-shade,no wind,57.28571,61,36.53813,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,morgens regnerisch; waermer richtung 14:30,
22-11093,31.05.2022,9:25,,94233370,52.640460,13.487720,"52.64046, 13.48772",Berlin,"Wiltbergstraße 84, 13125 Berlin",Montessori-Gemeinschaftsschule Berlin-Buch,Montessori-Gemeinschaftsschule,"erdig, Eibenwald",13,lightly cloudy,full shade,no wind,22.50163,8,29.62803,0,100,11.79166667,12.875,11.5625,0.411029576,0.168945313,14.375,19.625,13.1875,2.022094752,4.088867188,15.51388889,17.5625,14.25,0.982651158,0.965603299,1310.111111,1313,1308,1.96497102,3.861111111,14.63333333,14.7,14.6,0.05,0.0025,kleine Ameisen (1mm),Latitude was written as 25.64046 which is highly unlikely as it is in the Lybian desert. I assume it is a typo as 52.64046 lands us in Berlin and thus kept 52 as latitude
22-11094,20.05.2022,10:05,,94226722,52.448678,13.400552,"52.44867799741529, 13.400551905982203",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule,Schaetzelberg-Grundschule,Wiese vor Schule,20,lightly cloudy,no shade,weak wind,49.26471,45,28.03042,4,100,25.984375,27.5,24.375,1.004870949,1.009765625,27.8203125,29,26.625,0.790172266,0.62437221,25.9375,27,24.4375,0.816268732,0.666294643,719,722,715,2.390457219,5.714285714,1.475,1.5,1.4,0.046291005,0.002142857,It was hard to bury the climate logger; There was an ant colony directly next to the experiment,
22-11095,18.05.2022,9:32,,94233398,52.425734,13.225675,"52.4257340528183, 13.22567469750354",Berlin,"Am Rohrgarten 9, 14163 Berlin",Anna-Essinger-Gemeinschaftsschule,Anna-Essinger-Gemeinschaftsschule,"Muelltonne, Erde",,,,,57.9513,61,36.33468,0,100,19.16666667,22.375,14.0625,2.501757195,6.258789063,21.61111111,25,16.5625,2.945928364,8.678493924,21.42361111,24.25,17.125,2.322986733,5.396267361,1328.555556,1408,1283,33.86410751,1146.777778,15,16.7,14,0.734846923,0.54,,"No info on city was given, from a google maps search I assume it was this address in Berlin"
22-11097,19.05.2022,13:00,15:03,94233314,52.541454,13.357715,"52.54145437062422, 13.357714564039153",Berlin,"Tegeler Str. 18-19, 13533 Berlin",Brueder-Grimm-Grundschule,Brueder-Grimm-Grundschule,"Boden hart und sandig, neben Fußweg, Muelleimer",28,lightly cloudy,half-shade,no wind,77.35256,100,29.72692,2,100,19.41071429,19.6875,19.1875,0.197171215,0.038876488,26.21428571,26.5,25.5,0.343952862,0.118303571,27.32142857,27.75,26.625,0.438137291,0.191964286,1117.857143,1127,1107,7.358183006,54.14285714,10.42857143,10.6,10.2,0.149602648,0.022380952,also other insects were interested in the pic-nic,"no info on location but the data sheet was photocopied like in sample 22-11061, and all exp done on 19.05 were from the same place, so I assume it is also the Brueder-Grimm-Grundschule"
22-11098,16.05.2022,9:05,11:05,94233312,52.501950,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lueckstraße 63, 10317 Berlin",Immanuel-Kant-Gymnasium,Immanuel-Kant-Gymnasium,"Schulgarten, Insektenhotel in der Naehe, harte Erde",20,no clouds,full shade,weak wind,58.98701,65,37.06479,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"no info on location, but all experiments done on that day were in immanuel kant Gymnasium. Times of day match"
22-11100,20.05.2022,10:18,12:18,94226773,51.296465,12.384371,"51.29646511111912, 12.384370693254107",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,Karl-Schubert-Schule ,"Mauer, Fahrradstaender, Steine, Kies, Baum",23,lightly cloudy,half-shade,no wind,68.81699,74,27.86826,10,100,19.2890625,19.5625,19.125,0.173390236,0.030064174,21.21875,22.75,20.6875,0.711826122,0.506696429,22.1015625,24.75,21.25,1.182526002,1.398367746,1256.75,1262,1253,3.195979617,10.21428571,13.4625,13.6,13.4,0.074402381,0.005535714,,"Upper right corner of sheet: ""P1"""
23-11181,15.06.2023,12:55,14:55,94233367,52.405125,13.508245,"52.405125, 13.508245",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,Hannah-Arendt-Gymnasium,,23.5,very cloudy,no shade,weak wind,55.25,59,32.57886,0,100,21.43055556,21.75,21.25,0.201179249,0.04047309,23.4375,25.625,22.5625,0.957087052,0.916015625,22.74305556,25.375,21.75,1.162753855,1.351996528,1082.444444,1088,1080,2.45515331,6.027777778,9.655555556,9.8,9.6,0.072648316,0.005277778,"""da wir den Versuch erst ch der Verteilung der Fallen durchgefuehrt haben, gibt es hier nur dieser Logger""; from 13:54 light drizzle for 5-10 minutes, from 14:30 sunny",one logger for 5 experiments
23-11182,15.06.2023,12:57,14:57,94233367,52.404674,13.508113,"52.404674, 13.508113",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,Hannah-Arendt-Gymnasium,,23.5,very cloudy,no shade,weak wind,64.92628,76,34.98815,0,100,21.43055556,21.75,21.25,0.201179249,0.04047309,23.4375,25.625,22.5625,0.957087052,0.916015625,22.74305556,25.375,21.75,1.162753855,1.351996528,1082.444444,1088,1080,2.45515331,6.027777778,9.655555556,9.8,9.6,0.072648316,0.005277778,"light rain for 5-10 minutes from 13:00, 15m distance to climate logger","coordites by me (schulhof), one logger for 5 experiments"
23-11183,15.06.2023,13:05,14:43,94233367,52.404111,13.508649,"52.404111, 13.508649",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,Hannah-Arendt-Gymnasium,,23.5,very cloudy,full shade,weak wind,73.80892,89.5,32.27433,0,100,21.43055556,21.75,21.25,0.201179249,0.04047309,23.4375,25.625,22.5625,0.957087052,0.916015625,22.74305556,25.375,21.75,1.162753855,1.351996528,1082.444444,1088,1080,2.45515331,6.027777778,9.655555556,9.8,9.6,0.072648316,0.005277778,"exp. ended after 98 minutes, ca. 6m away from climate logger, 13:55 light rain for 5-10 min","coordites by me (address), one logger for 5 experiments"
23-11184,15.06.2023,13:01,14:40,94233367,52.404111,13.508649,"52.404111, 13.508649",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,Hannah-Arendt-Gymnasium,,23.5,very cloudy,half-shade,,73.80892,89.5,32.27433,0,100,21.43055556,21.75,21.25,0.201179249,0.04047309,23.4375,25.625,22.5625,0.957087052,0.916015625,22.74305556,25.375,21.75,1.162753855,1.351996528,1082.444444,1088,1080,2.45515331,6.027777778,9.655555556,9.8,9.6,0.072648316,0.005277778,"Exp. ended after 99 minutes, 3m away from climate logger, light rain at 13:00 for 5-10 minutes","coordites by me (address), one logger for 5 experiments"
