sample_ID,concentration,count_time,individuals,remarks_participants,remarks_Nelma
22-11027,20,Lab,0,,Not in ethanol
22-11027,40,5,1,"Address is the school, but the coordinates are a bit further in the schoolyard
wind blew sand on the baits",no physical sheet
22-11027,40,10,1,"Address is the school, but the coordinates are a bit further in the schoolyard
wind blew sand on the baits",no physical sheet
22-11027,40,20,0,"Address is the school, but the coordinates are a bit further in the schoolyard
wind blew sand on the baits",no physical sheet
22-11027,40,40,3,"Address is the school, but the coordinates are a bit further in the schoolyard
wind blew sand on the baits",no physical sheet
22-11027,40,80,10,"Address is the school, but the coordinates are a bit further in the schoolyard
wind blew sand on the baits",no physical sheet
22-11027,40,120,14,"Address is the school, but the coordinates are a bit further in the schoolyard
wind blew sand on the baits",no physical sheet
22-11027,40,Frozen,,"Address is the school, but the coordinates are a bit further in the schoolyard
wind blew sand on the baits",no physical sheet
22-11027,40,Lab,12,,0 from lab data but 12 from species ID data
22-11029,0,5,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,0,10,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,0,20,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,0,40,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,0,80,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,0,120,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,0,Frozen,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,0,Lab,,,no sample linked to this data sheet
22-11029,5,5,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,5,10,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,5,20,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,5,40,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,5,80,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,5,120,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,5,Frozen,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,5,Lab,,,no sample linked to this data sheet
22-11029,10,5,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,10,10,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,10,20,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,10,40,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,10,80,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,10,120,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,10,Frozen,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,10,Lab,,,no sample linked to this data sheet
22-11029,20,5,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,20,10,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,20,20,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,20,40,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,20,80,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,20,120,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,20,Frozen,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,20,Lab,,,no sample linked to this data sheet
22-11029,40,5,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,40,10,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,40,20,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,40,40,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,40,80,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,40,120,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","All ant counting empty except for ""wahr da"" here. No info on location for this experiment and all others done on this date. Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,40,Frozen,,"""schulhof sonnig"", ""rote Bahn sonnig Busch""","No info on location for this experiment and all others done on this date.
Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes (Die hoten hünner)"
22-11029,40,Lab,,,no sample linked to this data sheet
22-11030,0,5,2,,
22-11030,0,10,0,,
22-11030,0,20,2,,
22-11030,0,40,2,,
22-11030,0,80,1,,
22-11030,0,120,1,,
22-11030,0,Frozen,1,,
22-11030,0,Lab,1,,added from species ID data
22-11030,5,5,0,,
22-11030,5,10,1,,
22-11030,5,20,0,,
22-11030,5,40,0,,
22-11030,5,80,1,,
22-11030,5,120,2,,
22-11030,5,Frozen,0,,
22-11030,5,Lab,,,
22-11030,10,5,2,,
22-11030,10,10,1,,
22-11030,10,20,1,,
22-11030,10,40,1,,
22-11030,10,80,3,,
22-11030,10,120,5,,
22-11030,10,Frozen,2,,
22-11030,10,Lab,1,,added from species ID data
22-11030,20,5,0,,
22-11030,20,10,1,,
22-11030,20,20,1,,
22-11030,20,40,2,,
22-11030,20,80,3,,
22-11030,20,120,7,,
22-11030,20,Frozen,2,,
22-11030,20,Lab,3,,added from species ID data
22-11030,40,5,2,,
22-11030,40,10,1,,
22-11030,40,20,0,,
22-11030,40,40,0,,
22-11030,40,80,4,,
22-11030,40,120,9,,
22-11030,40,Frozen,5,,
22-11030,40,Lab,5,,added from species ID data
22-11031,0,5,0,,
22-11031,0,10,0,,
22-11031,0,20,0,,
22-11031,0,40,0,,
22-11031,0,80,0,,
22-11031,0,120,0,,
22-11031,0,Frozen,0,,
22-11031,0,Lab,,,no sample linked to this data sheet
22-11031,5,5,0,,
22-11031,5,10,0,,
22-11031,5,20,0,,
22-11031,5,40,1,,
22-11031,5,80,0,,
22-11031,5,120,0,,
22-11031,5,Frozen,0,,
22-11031,5,Lab,,,no sample linked to this data sheet
22-11031,10,5,0,,
22-11031,10,10,1,,
22-11031,10,20,0,,
22-11031,10,40,1,,
22-11031,10,80,0,,
22-11031,10,120,0,,
22-11031,10,Frozen,0,,
22-11031,10,Lab,,,no sample linked to this data sheet
22-11031,20,5,0,,
22-11031,20,10,0,,
22-11031,20,20,0,,
22-11031,20,40,0,,
22-11031,20,80,0,,
22-11031,20,120,0,,
22-11031,20,Frozen,0,,
22-11031,20,Lab,,,no sample linked to this data sheet
22-11031,40,5,0,,
22-11031,40,10,0,,
22-11031,40,20,0,,
22-11031,40,40,0,,
22-11031,40,80,0,,
22-11031,40,120,0,,
22-11031,40,Frozen,0,,
22-11031,40,Lab,,,no sample linked to this data sheet
22-11032,0,5,0,,"""P4"" on sheet"
22-11032,0,10,0,,"""P4"" on sheet"
22-11032,0,20,0,,"""P4"" on sheet"
22-11032,0,40,0,,"""P4"" on sheet"
22-11032,0,80,1,,"""P4"" on sheet"
22-11032,0,120,0,,"""P4"" on sheet"
22-11032,0,Frozen,,,"""P4"" on sheet"
22-11032,0,Lab,,,no sample linked to this data sheet
22-11032,5,5,0,,"""P4"" on sheet"
22-11032,5,10,0,,"""P4"" on sheet"
22-11032,5,20,0,,"""P4"" on sheet"
22-11032,5,40,0,,"""P4"" on sheet"
22-11032,5,80,0,,"""P4"" on sheet"
22-11032,5,120,0,,"""P4"" on sheet"
22-11032,5,Frozen,,,"""P4"" on sheet"
22-11032,5,Lab,,,no sample linked to this data sheet
22-11032,10,5,0,,"""P4"" on sheet"
22-11032,10,10,0,,"""P4"" on sheet"
22-11032,10,20,0,,"""P4"" on sheet"
22-11032,10,40,0,,"""P4"" on sheet"
22-11032,10,80,0,,"""P4"" on sheet"
22-11032,10,120,2,,"""P4"" on sheet"
22-11032,10,Frozen,,,"""P4"" on sheet"
22-11032,10,Lab,,,no sample linked to this data sheet
22-11032,20,5,0,,"""P4"" on sheet"
22-11032,20,10,0,,"""P4"" on sheet"
22-11032,20,20,0,,"""P4"" on sheet"
22-11032,20,40,0,,"""P4"" on sheet"
22-11032,20,80,0,,"""P4"" on sheet"
22-11032,20,120,1,,"""P4"" on sheet"
22-11032,20,Frozen,,,"""P4"" on sheet"
22-11032,20,Lab,,,no sample linked to this data sheet
22-11032,40,5,0,,"""P4"" on sheet"
22-11032,40,10,0,,"""P4"" on sheet"
22-11032,40,20,0,,"""P4"" on sheet"
22-11032,40,40,2,,"""P4"" on sheet"
22-11032,40,80,0,,"""P4"" on sheet"
22-11032,40,120,4,,"""P4"" on sheet"
22-11032,40,Frozen,,,"""P4"" on sheet"
22-11032,40,Lab,,,no sample linked to this data sheet
22-11033,0,5,0,,
22-11033,0,10,0,,
22-11033,0,20,0,,
22-11033,0,40,0,,
22-11033,0,80,0,,
22-11033,0,120,0,,
22-11033,0,Frozen,,,
22-11033,0,Lab,0,,
22-11033,5,5,0,,
22-11033,5,10,0,,
22-11033,5,20,0,,
22-11033,5,40,0,,
22-11033,5,80,0,,
22-11033,5,120,0,,
22-11033,5,Frozen,,,
22-11033,5,Lab,0,,
22-11033,10,5,0,,
22-11033,10,10,0,,
22-11033,10,20,0,,
22-11033,10,40,0,,
22-11033,10,80,0,,
22-11033,10,120,0,,
22-11033,10,Frozen,,,
22-11033,10,Lab,0,,
22-11033,20,5,1,,
22-11033,20,10,0,,
22-11033,20,20,1,,
22-11033,20,40,0,,
22-11033,20,80,0,,
22-11033,20,120,0,,
22-11033,20,Frozen,,,
22-11033,20,Lab,0,,
22-11033,40,5,0,,
22-11033,40,10,0,,
22-11033,40,20,1,,
22-11033,40,40,1,,
22-11033,40,80,0,,
22-11033,40,120,0,,
22-11033,40,Frozen,,,
22-11033,40,Lab,0,,
22-11034,0,5,0,,
22-11034,0,10,0,,
22-11034,0,20,0,,
22-11034,0,40,0,,
22-11034,0,80,0,,
22-11034,0,120,0,,
22-11034,0,Frozen,,,
22-11034,0,Lab,0,,
22-11034,5,5,0,,
22-11034,5,10,0,,
22-11034,5,20,0,,
22-11034,5,40,0,,
22-11034,5,80,4,,
22-11034,5,120,1,,
22-11034,5,Frozen,,,
22-11034,5,Lab,0,,
22-11034,10,5,0,,
22-11034,10,10,0,,
22-11034,10,20,0,,
22-11034,10,40,0,,
22-11034,10,80,0,,
22-11034,10,120,0,,
22-11034,10,Frozen,,,
22-11034,10,Lab,0,,
22-11034,20,5,0,,
22-11034,20,10,0,,
22-11034,20,20,0,,
22-11034,20,40,0,,
22-11034,20,80,0,,
22-11034,20,120,2,,
22-11034,20,Frozen,2,,
22-11034,20,Lab,2,,
22-11034,40,5,0,,
22-11034,40,10,0,,
22-11034,40,20,0,,
22-11034,40,40,0,,
22-11034,40,80,8,,
22-11034,40,120,22,,
22-11034,40,Frozen,22,,
22-11034,40,Lab,21,,
22-11036,0,5,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,0,10,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,0,20,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,0,40,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,0,80,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,0,120,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,0,Frozen,,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,0,Lab,,,no sample linked to this data sheet
22-11036,5,5,1,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,5,10,2,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,5,20,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,5,40,1,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,5,80,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,5,120,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,5,Frozen,,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,5,Lab,,,no sample linked to this data sheet
22-11036,10,5,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,10,10,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,10,20,1,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,10,40,5,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,10,80,13,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,10,120,3,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,10,Frozen,,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,10,Lab,,,no sample linked to this data sheet
22-11036,20,5,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,20,10,1,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,20,20,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,20,40,4,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,20,80,4,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,20,120,1,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,20,Frozen,,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,20,Lab,,,no sample linked to this data sheet
22-11036,40,5,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,40,10,0,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,40,20,1,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,40,40,14,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,40,80,18,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,40,120,3,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,40,Frozen,,"morgens Regen, chmittags Sonne = weniger Ameisen. Störung at 40%: Ball rüber gerollt 2x",
22-11036,40,Lab,,,no sample linked to this data sheet
22-11037,0,5,0,,
22-11037,0,10,0,,
22-11037,0,20,0,,
22-11037,0,40,0,,
22-11037,0,80,0,,
22-11037,0,120,0,,
22-11037,0,Frozen,,,
22-11037,0,Lab,0,,
22-11037,5,5,0,,
22-11037,5,10,0,,
22-11037,5,20,0,,
22-11037,5,40,0,,
22-11037,5,80,0,,
22-11037,5,120,0,,
22-11037,5,Frozen,,,
22-11037,5,Lab,0,,
22-11037,10,5,0,,
22-11037,10,10,0,,
22-11037,10,20,0,,
22-11037,10,40,0,,
22-11037,10,80,0,,
22-11037,10,120,0,,
22-11037,10,Frozen,,,
22-11037,10,Lab,0,,
22-11037,20,5,0,,
22-11037,20,10,0,,
22-11037,20,20,0,,
22-11037,20,40,0,,
22-11037,20,80,0,,
22-11037,20,120,0,,
22-11037,20,Frozen,,,
22-11037,20,Lab,0,,
22-11037,40,5,0,,
22-11037,40,10,2,,
22-11037,40,20,0,,
22-11037,40,40,0,,
22-11037,40,80,0,,
22-11037,40,120,0,,
22-11037,40,Frozen,,,
22-11037,40,Lab,0,,
22-11038,0,5,0,,
22-11038,0,10,0,,
22-11038,0,20,0,,
22-11038,0,40,0,,
22-11038,0,80,0,,
22-11038,0,120,0,,
22-11038,0,Frozen,,,
22-11038,0,Lab,0,,
22-11038,5,5,0,,
22-11038,5,10,0,,
22-11038,5,20,0,,
22-11038,5,40,0,,
22-11038,5,80,0,,
22-11038,5,120,0,,
22-11038,5,Frozen,,,
22-11038,5,Lab,0,,
22-11038,10,5,0,,
22-11038,10,10,0,,
22-11038,10,20,0,,
22-11038,10,40,0,,
22-11038,10,80,0,,
22-11038,10,120,1,,
22-11038,10,Frozen,,,
22-11038,10,Lab,0,,
22-11038,20,5,0,,
22-11038,20,10,0,,
22-11038,20,20,0,,
22-11038,20,40,0,,
22-11038,20,80,0,,
22-11038,20,120,0,,
22-11038,20,Frozen,,,
22-11038,20,Lab,0,,
22-11038,40,5,0,,
22-11038,40,10,0,,
22-11038,40,20,0,,
22-11038,40,40,0,,
22-11038,40,80,0,,
22-11038,40,120,0,,
22-11038,40,Frozen,,,
22-11038,40,Lab,0,,
22-11039,0,5,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,0,10,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,0,20,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,0,40,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,0,80,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,0,120,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,0,Frozen,,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,0,Lab,0,,Not in ethanol
22-11039,5,5,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,5,10,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,5,20,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,5,40,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,5,80,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,5,120,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,5,Frozen,,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,5,Lab,0,,Not in ethanol
22-11039,10,5,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,10,10,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,10,20,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,10,40,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,10,80,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,10,120,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,10,Frozen,,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,10,Lab,0,,Not in ethanol
22-11039,20,5,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,20,10,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,20,20,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,20,40,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,20,80,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,20,120,1,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,20,Frozen,,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,20,Lab,0,,Not in ethanol
22-11039,40,5,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,40,10,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,40,20,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,40,40,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,40,80,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,40,120,0,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,40,Frozen,,"Address is the school, but the coordinates are a bit further in the schoolyard",
22-11039,40,Lab,0,,Not in ethanol
22-11041,0,5,1,*Kein Klimalogger,
22-11041,0,10,1,*Kein Klimalogger,
22-11041,0,20,1,*Kein Klimalogger,
22-11041,0,40,0,*Kein Klimalogger,
22-11041,0,80,0,*Kein Klimalogger,
22-11041,0,120,3,*Kein Klimalogger,
22-11041,0,Frozen,,*Kein Klimalogger,
22-11041,0,Lab,0,,
22-11041,5,5,1,*Kein Klimalogger,
22-11041,5,10,4,*Kein Klimalogger,
22-11041,5,20,11,*Kein Klimalogger,
22-11041,5,40,13,*Kein Klimalogger,
22-11041,5,80,5,*Kein Klimalogger,
22-11041,5,120,2,*Kein Klimalogger,
22-11041,5,Frozen,,*Kein Klimalogger,
22-11041,5,Lab,1,,
22-11041,10,5,1,*Kein Klimalogger,
22-11041,10,10,5,*Kein Klimalogger,
22-11041,10,20,10,*Kein Klimalogger,
22-11041,10,40,20,*Kein Klimalogger,
22-11041,10,80,21,*Kein Klimalogger,
22-11041,10,120,17,*Kein Klimalogger,
22-11041,10,Frozen,,*Kein Klimalogger,
22-11041,10,Lab,9,,
22-11041,20,5,0,*Kein Klimalogger,
22-11041,20,10,0,*Kein Klimalogger,
22-11041,20,20,0,*Kein Klimalogger,
22-11041,20,40,1,*Kein Klimalogger,
22-11041,20,80,0,*Kein Klimalogger,
22-11041,20,120,3,*Kein Klimalogger,
22-11041,20,Frozen,,*Kein Klimalogger,
22-11041,20,Lab,1,,
22-11041,40,5,0,*Kein Klimalogger,
22-11041,40,10,0,*Kein Klimalogger,
22-11041,40,20,0,*Kein Klimalogger,
22-11041,40,40,0,*Kein Klimalogger,
22-11041,40,80,0,*Kein Klimalogger,
22-11041,40,120,2,*Kein Klimalogger,
22-11041,40,Frozen,,*Kein Klimalogger,
22-11041,40,Lab,1,,
22-11043,0,5,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,0,10,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,0,20,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,0,40,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,0,80,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,0,120,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,0,Frozen,,"Störung: at 20% and 40% ""Schmutz""",
22-11043,0,Lab,,,no sample linked to this data sheet
22-11043,5,5,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,5,10,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,5,20,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,5,40,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,5,80,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,5,120,0,"Störung: at 20% and 40% ""Schmutz""",little 1 in upper right corner
22-11043,5,Frozen,,"Störung: at 20% and 40% ""Schmutz""",
22-11043,5,Lab,,,no sample linked to this data sheet
22-11043,10,5,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,10,10,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,10,20,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,10,40,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,10,80,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,10,120,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,10,Frozen,,"Störung: at 20% and 40% ""Schmutz""",
22-11043,10,Lab,,,no sample linked to this data sheet
22-11043,20,5,1,"Störung: at 20% and 40% ""Schmutz""",
22-11043,20,10,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,20,20,0,"Störung: at 20% and 40% ""Schmutz""",
22-11043,20,40,0,"Störung: at 20% and 40% ""Schmutz""",
